icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model,typecode,registration,departure_time,arrival_time,departure_weather,arrival_weather,distance_km,fuel_burn_kg,co2_emissions_kg,weather_penalty_score,fuel_burn_kg_adjusted,co2_emissions_kg_adjusted,fuel_burn_kg_modeled,co2_emissions_kg_modeled,wind_direction_deg,wind_speed_kt,weather_penalty_factor,weather_adjusted_fuel_burn_kg,weather_adjusted_co2_emissions_kg
8964bb,1664316560.0,0.0,1664342867,0.0,ETD72E  ,Unknown,Unknown,EIDW,Unknown,787 9,B789,A6-BLK,1664316560.0,1664342867.0,No Weather Info,"EIDW 091100Z 06008KT 020V100 CAVOK 14/03 Q1031 NOSIG,EIDW,2025-04-09T11:00:00Z,53.422,-6.298,14,3,60,8,,6+,30.44,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,75",5478.003724551743,24651.01676048285,77897.2129631258,0.0,24651.01676048285,77897.2129631258,24651.01676048285,77897.2129631258,,,0.0,24651.01676048285,77897.21296312581
8964ff,1664388428.0,0.0,1664400471,0.0,ETD216  ,OMAA,Unknown,VOBL,Unknown,787-10 Dreamliner,B78X,A6-BMD,1664388428.0,1664400471.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","VOBL 091100Z 05012KT 8000 SCT012 SCT020 32/10 Q1012 NOSIG,VOBL,2025-04-09T11:00:00Z,13.205,77.704,32,10,50,12,,4.97,29.88,,,,,,TRUE,,,,,SCT,1200,SCT,2000,,,,,MVFR,,,,,,,,,,,,METAR,908",2339.08128884221,10525.865799789946,33261.73592733623,0.05,11052.159089779443,34924.822723703044,10525.865799789946,33261.73592733623,290.0,14.0,0.02,10736.383115785746,33926.97064588296
8964ff,1664356845.0,0.0,1664374271,0.0,ETD66   ,UUEE,Unknown,OMAA,Unknown,787-10 Dreamliner,B78X,A6-BMD,1664356845.0,1664374271.0,"UUEE 091125Z 24008MPS 9999 SCT046CB M01/M08 Q1003 R24L/550240 NOSIG,UUEE,2025-04-09T11:25:00Z,55.973,37.415,-1,-8,240,16,,6+,29.62,,,,,,TRUE,,,,,SCT,4600,,,,,,,VFR,,,,,,,,,,,,SPECI,186","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",4815.5496771422295,21669.973547140034,68477.11640896251,0.05,22753.47222449704,71900.97222941063,21669.973547140034,68477.11640896251,,,0.0,21669.973547140034,68477.11640896251
8964ff,1664329822.0,0.0,1664348276,0.0,ETD65   ,Unknown,Unknown,UUEE,Unknown,787-10 Dreamliner,B78X,A6-BMD,1664329822.0,1664348276.0,No Weather Info,"UUEE 091125Z 24008MPS 9999 SCT046CB M01/M08 Q1003 R24L/550240 NOSIG,UUEE,2025-04-09T11:25:00Z,55.973,37.415,-1,-8,240,16,,6+,29.62,,,,,,TRUE,,,,,SCT,4600,,,,,,,VFR,,,,,,,,,,,,SPECI,186",3556.417704662092,16003.879670979411,50572.25976029494,0.0,16003.879670979411,50572.25976029494,16003.879670979415,50572.25976029495,,,0.0,16003.879670979415,50572.25976029495
89656d,1664356516.0,0.0,1664389504,0.0,ETD857  ,RKSI,Unknown,OMAA,Unknown,Boeing 787-10 Dreamliner,B78X,A6-BMH,1664356516.0,1664389504.0,"RKSI 091100Z 31005KT 9999 OVC040 10/06 Q1009 NOSIG,RKSI,2025-04-09T11:00:00Z,37.469,126.451,10,6,310,5,,6+,29.79,,,,,,TRUE,,,,,OVC,4000,,,,,,,VFR,,,,,,,,,,,,METAR,7","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",6685.323569230377,30083.956061536697,95065.30115445596,0.05,31588.15386461353,99818.56621217878,30083.956061536697,95065.30115445596,310.0,5.0,0.0,30083.956061536697,95065.30115445597
89656d,1664304139.0,0.0,1664332066,0.0,ETD856  ,OMAA,Unknown,RKSI,Unknown,Boeing 787-10 Dreamliner,B78X,A6-BMH,1664304139.0,1664332066.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","RKSI 091100Z 31005KT 9999 OVC040 10/06 Q1009 NOSIG,RKSI,2025-04-09T11:00:00Z,37.469,126.451,10,6,310,5,,6+,29.79,,,,,,TRUE,,,,,OVC,4000,,,,,,,VFR,,,,,,,,,,,,METAR,7",2754.0166170204343,12393.074776591957,39162.11629403058,0.05,13012.728515421551,41120.22210873211,12393.074776591957,39162.11629403058,290.0,14.0,0.02,12640.936272123796,39945.358619911196
8964c2,1664360673.0,1664360674.0,1664377957,1664378137.0,ETD1BQ  ,LOWW,LOWW,OMAA,OMAA,787-9 Dreamliner,B789,A6-BLR,1664360674.0,1664378137.0,"LOWW 091120Z 33008KT 290V010 9999 FEW050 12/M01 Q1021 NOSIG,LOWW,2025-04-09T11:20:00Z,48.117,16.582,12,-1,330,8,,6+,30.15,,,,,,TRUE,,,,,FEW,5000,,,,,,,VFR,,,,,,,,,,,,METAR,179","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",6530.330524745565,29386.48736135504,92861.30006188194,0.05,30855.8117294228,97504.36506497604,29386.48736135504,92861.30006188194,330.0,8.0,0.0,29386.48736135504,92861.30006188194
8964c2,1664321892.0,0.0,1664341618,0.0,ETD3BH  ,OMAA,Unknown,LOWW,Unknown,787-9 Dreamliner,B789,A6-BLR,1664321892.0,1664341618.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","LOWW 091120Z 33008KT 290V010 9999 FEW050 12/M01 Q1021 NOSIG,LOWW,2025-04-09T11:20:00Z,48.117,16.582,12,-1,330,8,,6+,30.15,,,,,,TRUE,,,,,FEW,5000,,,,,,,VFR,,,,,,,,,,,,METAR,179",2442.18704998774,10989.841724944828,34727.89985082566,0.05,11539.333811192071,36464.294843366944,10989.84172494483,34727.89985082566,290.0,14.0,0.02,11209.638559443727,35422.457847842175
8964bd,1664348453.0,0.0,1664372754,0.0,ETD25   ,Unknown,Unknown,EGLL,Unknown,787-9 Dreamliner,B789,A6-BLM,1664348453.0,1664372754.0,No Weather Info,"EGLL 091120Z AUTO 07010KT 9999 FEW028 10/03 Q1030,EGLL,2025-04-09T11:20:00Z,51.477,-0.461,10,3,70,10,,6+,30.41,,,TRUE,,,,,,,,FEW,2800,,,,,,,VFR,,,,,,,,,,,,METAR,26",5881.8922638330005,26468.5151872485,83640.50799170526,0.0,26468.5151872485,83640.50799170526,26468.5151872485,83640.50799170526,,,0.0,26468.5151872485,83640.50799170526
896408,1664328534.0,0.0,1664370638,0.0,ETD6HZ  ,KIAD,Unknown,OMAA,Unknown,787 9,B789,A6-BLC,1664328534.0,1664370638.0,"KIAD 091052Z 00000KT 10SM CLR M03/M08 A3028 RMK AO2 SLP256 T10281083,KIAD,2025-04-09T10:52:00Z,38.9348,-77.4473,-2.8,-8.3,0,0,,10+,30.28,1025.6,,,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,90","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",5164.083190177806,23238.37435580013,73433.2629643284,0.05,24400.29307359013,77104.92611254482,23238.37435580013,73433.2629643284,0.0,0.0,0.0,23238.37435580013,73433.26296432842
