icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model,typecode,registration,departure_time,arrival_time,departure_weather,arrival_weather,distance_km,fuel_burn_kg,co2_emissions_kg,weather_penalty_score,fuel_burn_kg_adjusted,co2_emissions_kg_adjusted,fuel_burn_kg_modeled,co2_emissions_kg_modeled,wind_direction_deg,wind_speed_kt,weather_penalty_factor,weather_adjusted_fuel_burn_kg,weather_adjusted_co2_emissions_kg
89642b,1662071502.0,0.0,1662074584,0.0,ETD1SX  ,OMAA,Unknown,Unknown,Unknown,A321 231SL,A321,A6-AEF,1662071502.0,1662074584.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,4391.679326226044,19762.5569680172,62449.68001893436,0.05,20750.684816418063,65572.16401988108,19762.5569680172,62449.68001893436,290.0,14.0,0.02,20157.808107377547,63698.67361931305
896597,1662056265.0,0.0,1662057673,0.0,ETD206  ,OMAA,Unknown,Unknown,Unknown,A350-1041,A359,A6-XWB,1662056265.0,1662057673.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,6206.252427490964,27928.13592370934,88252.90951892151,0.05,29324.542719894805,92665.5549948676,27928.13592370934,88252.90951892151,290.0,14.0,0.02,28486.698642183524,90017.96770929995
89627b,1662069976.0,0.0,1662073709,0.0,ETD313  ,OMAA,Unknown,Unknown,Unknown,A321 232SL,A321,A6-AED,1662069976.0,1662073709.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,6921.949039771157,31148.77067897021,98430.11534554586,0.05,32706.20921291872,103351.62111282317,31148.77067897021,98430.11534554586,290.0,14.0,0.02,31771.746092549616,100398.71765245679
89650a,1662032907.0,0.0,1662049132,0.0,ETD9855 ,Unknown,Unknown,Unknown,Unknown,Boeing 777-F,Unknown,A6-DDF,1662032907.0,1662049132.0,No Weather Info,No Weather Info,4778.434973875511,21502.9573824398,67949.34532850976,0.0,21502.9573824398,67949.34532850976,21502.9573824398,67949.34532850976,,,0.0,21502.9573824398,67949.34532850976
8964fe,1662061168.0,0.0,1662061978,0.0,ETD288  ,OMAA,Unknown,Unknown,Unknown,787-10 Dreamliner ,B78X,A6-BMC ,1662061168.0,1662061978.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,6974.925899174625,31387.16654628581,99183.44628626316,0.05,32956.5248736001,104142.61860057632,31387.16654628581,99183.44628626316,290.0,14.0,0.02,32014.90987721153,101167.11521198844
8963a9,1662064519.0,0.0,1662065984,0.0,ETD622  ,OMAA,Unknown,Unknown,Unknown,A320 232SL,A320,A6-EIX,1662064519.0,1662065984.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,3858.882039084383,17364.96917587972,54873.30259577992,0.05,18233.217634673707,57616.96772556892,17364.969175879723,54873.302595779925,290.0,14.0,0.02,17712.26855939732,55970.76864769553
8964c3,1662066988.0,0.0,1662067824,0.0,ETD278  ,OMAA,Unknown,Unknown,Unknown,B787-9,Unknown,A6-BLS,1662066988.0,1662067824.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,2077.560585319736,9349.02263393881,29542.91152324664,0.05,9816.47376563575,31020.05709940897,9349.022633938814,29542.911523246654,290.0,14.0,0.02,9536.00308661759,30133.769753711586
896464,1662058863.0,0.0,1662067139,0.0,ETD72K  ,Unknown,Unknown,Unknown,Unknown,B787-9,B789,A6-BLF,1662058863.0,1662067139.0,No Weather Info,No Weather Info,2365.803836736369,10646.11726531366,33641.730558391166,0.0,10646.11726531366,33641.730558391166,10646.11726531366,33641.730558391166,,,0.0,10646.11726531366,33641.730558391166
8964fd,1662059272.0,0.0,1662060193,0.0,ETD280  ,OMAA,Unknown,Unknown,Unknown,787-10 Dreamliner,B78X,A6-BMB,1662059272.0,1662060193.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,3544.1463865750698,15948.658739587814,50397.76161709749,0.05,16746.091676567205,52917.649697952365,15948.658739587814,50397.76161709749,290.0,14.0,0.02,16267.63191437957,51405.71684943944
896535,1662059980.0,0.0,1662060807,0.0,ETD5FJ  ,OMAD,Unknown,Unknown,Unknown,787-9 Dreamliner,B789,A6-BLX,1662059980.0,1662060807.0,"OMAD 091100Z 31011KT CAVOK 31/18 Q1009 NOSIG,OMAD,2025-04-09T11:00:00Z,24.428,54.458,31,18,310,11,,6+,29.79,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,9",No Weather Info,2074.618990660027,9335.785457970122,29501.082047185584,0.05,9802.574730868628,30976.136149544865,9335.785457970122,29501.082047185584,310.0,11.0,0.02,9522.501167129523,30091.103688129297
89643d,1662071963.0,0.0,1662075929,0.0,ETD315  ,OMAA,Unknown,OERK,Unknown,A321 231SL,A321,A6-AEG,1662071963.0,1662075929.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","OERK 091100Z 24004KT CAVOK 38/02 Q1015 NOSIG,OERK,2025-04-09T11:00:00Z,24.945,46.702,38,2,240,4,,6+,29.97,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,618",4789.1929245681895,21551.368160556853,68102.32338735966,0.05,22628.936568584697,71507.43955672765,21551.368160556853,68102.32338735966,290.0,14.0,0.02,21982.39552376799,69464.36985510685
896441,1662046405.0,0.0,1662073010,0.0,ETD925  ,Unknown,Unknown,Unknown,Unknown,777 FFX,B77L,A6-DDD,1662046405.0,1662073010.0,No Weather Info,No Weather Info,5397.216902855278,24287.47606284875,76748.42435860205,0.0,24287.47606284875,76748.42435860205,24287.47606284875,76748.42435860205,,,0.0,24287.47606284875,76748.42435860205
89648a,1662022574.0,0.0,1662047126,0.0,ETD23N  ,EIDW,Unknown,OMAA,Unknown,Boeing 787 9,B789,A6-BLJ,1662022574.0,1662047126.0,"EIDW 091100Z 06008KT 020V100 CAVOK 14/03 Q1031 NOSIG,EIDW,2025-04-09T11:00:00Z,53.422,-6.298,14,3,60,8,,6+,30.44,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,75","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",2190.120637090872,9855.542866908923,31143.515459432205,0.05,10348.320010254372,32700.691232403817,9855.542866908923,31143.515459432205,60.0,8.0,0.0,9855.542866908923,31143.515459432198
89648a,1661996289.0,0.0,1662010603,1662010596.0,ETD72E  ,Unknown,OMAA,EIDW,EIDW,Boeing 787 9,B789,A6-BLJ,1661996289.0,1662010596.0,No Weather Info,"EIDW 091100Z 06008KT 020V100 CAVOK 14/03 Q1031 NOSIG,EIDW,2025-04-09T11:00:00Z,53.422,-6.298,14,3,60,8,,6+,30.44,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,75",6352.278416763722,28585.25287543675,90329.39908638012,0.0,28585.25287543675,90329.39908638012,28585.25287543675,90329.39908638012,,,0.0,28585.25287543675,90329.39908638013
8964f9,1662020221.0,0.0,1662055062,0.0,ETD871  ,Unknown,Unknown,OMAA,Unknown,787-9 Dreamliner,B789,A6-BLT,1662020221.0,1662055062.0,No Weather Info,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",4901.422174164907,22056.399783742083,69698.22331662498,0.0,22056.399783742083,69698.22331662498,22056.399783742083,69698.22331662498,,,0.0,22056.399783742083,69698.22331662498
8964f9,1661993956.0,0.0,1662002842,0.0,ETD878  ,Unknown,Unknown,RJAK,Unknown,787-9 Dreamliner,B789,A6-BLT,1661993956.0,1662002842.0,No Weather Info,No Weather Info,3310.855058427512,14898.847762923802,47080.35893083922,0.0,14898.847762923802,47080.35893083922,14898.847762923804,47080.358930839226,,,0.0,14898.847762923804,47080.358930839226
896397,1662042990.0,1662042825.0,1662058984,1662058982.0,ETD177C ,LGAV,LGAV,OMAA,OMAA,A320 232SL,A320,A6-EIV,1662042825.0,1662058982.0,"LGAV 091120Z 05013KT 9999 FEW018 BKN030 BKN070 10/02 Q1021 NOSIG,LGAV,2025-04-09T11:20:00Z,37.936,23.945,10,2,50,13,,6+,30.15,,,,,,TRUE,,,,,FEW,1800,BKN,3000,BKN,7000,,,MVFR,,,,,,,,,,,,METAR,83","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",5891.038914794859,26509.675116576866,83770.5733683829,0.05,27835.15887240571,87959.10203680205,26509.675116576866,83770.5733683829,50.0,13.0,0.02,27039.868618908404,85445.98483575055
896397,1662013418.0,1662013386.0,1662027116,0.0,ETD177A ,OMAA,OMAA,Unknown,LGSR,A320 232SL,A320,A6-EIV,1662013386.0,1662027116.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,3117.595708482399,14029.180688170796,44332.21097461972,0.05,14730.639722579335,46548.82152335071,14029.180688170796,44332.21097461972,290.0,14.0,0.02,14309.764301934212,45218.85519411211
896397,1661995835.0,0.0,1661999338,0.0,ETD320  ,OEDF,Unknown,OMAA,Unknown,A320 232SL,A320,A6-EIV,1661995835.0,1661999338.0,"OEDF 091100Z 35014KT CAVOK 39/M02 Q1010 NOSIG,OEDF,2025-04-09T11:00:00Z,26.45,49.817,39,-2,350,14,,6+,29.82,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,15","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",2961.06097229203,13324.774375314137,42106.28702599267,0.05,13991.013094079844,44211.6013772923,13324.774375314137,42106.28702599267,350.0,14.0,0.02,13591.26986282042,42948.41276651253
896488,1662036524.0,0.0,1662055756,0.0,ETD407  ,VTBS,Unknown,OMAA,Unknown,787 9,B789,A6-BLH,1662036524.0,1662055756.0,"VTBS 091100Z 20013KT 9999 FEW020 32/22 Q1006 NOSIG,VTBS,2025-04-09T11:00:00Z,13.686,100.767,32,22,200,13,,6+,29.70,,,,,,TRUE,,,,,FEW,2000,,,,,,,VFR,,,,,,,,,,,,METAR,1","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",3158.168927028816,14211.760171629672,44909.16214234976,0.05,14922.348180211156,47154.62024946725,14211.760171629672,44909.16214234976,200.0,13.0,0.02,14495.995375062266,45807.345385196764
896488,1661993189.0,0.0,1661994503,0.0,ETD402  ,Unknown,Unknown,VTBS,Unknown,787 9,B789,A6-BLH,1661993189.0,1661994503.0,No Weather Info,"VTBS 091100Z 20013KT 9999 FEW020 32/22 Q1006 NOSIG,VTBS,2025-04-09T11:00:00Z,13.686,100.767,32,22,200,13,,6+,29.70,,,,,,TRUE,,,,,FEW,2000,,,,,,,VFR,,,,,,,,,,,,METAR,1",6393.592455200525,28771.166048402363,90916.88471295148,0.0,28771.166048402363,90916.88471295148,28771.166048402363,90916.88471295148,,,0.0,28771.166048402363,90916.88471295148
89643d,1662012999.0,0.0,1662043298,0.0,ETD654  ,OMAA,Unknown,OMAA,Unknown,A321 231SL,A321,A6-AEG,1662012999.0,1662043298.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",4401.505617865137,19806.775280393114,62589.409886042245,0.05,20797.11404441277,65718.88038034436,19806.775280393114,62589.409886042245,290.0,14.0,0.02,20202.910786000975,63841.19808376308
89643d,1661998511.0,0.0,1661999697,0.0,ETD275  ,Unknown,Unknown,OMAA,Unknown,A321 231SL,A321,A6-AEG,1661998511.0,1661999697.0,No Weather Info,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",3973.409245659185,17880.341605466332,56501.87947327361,0.0,17880.341605466332,56501.87947327361,17880.341605466332,56501.87947327361,,,0.0,17880.341605466332,56501.87947327361
896489,1662021952.0,1662021931.0,1662040993,1662041307.0,ETD78G  ,LIRF,LIRF,OMAA,OMAA,787 9,B789,A6-BLI,1662021931.0,1662041307.0,"LIRF 091120Z 17010KT 140V200 9999 SCT035 17/06 Q1023 NOSIG,LIRF,2025-04-09T11:20:00Z,41.8,12.239,17,6,170,10,,6+,30.21,,,,,,TRUE,,,,,SCT,3500,,,,,,,VFR,,,,,,,,,,,,METAR,2","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",6959.376737967525,31317.19532085386,98962.3372138982,0.05,32883.05508689656,103910.45407459312,31317.19532085386,98962.3372138982,170.0,10.0,0.02,31943.53922727094,100941.58395817617
896489,1661991256.0,0.0,1662002699,0.0,ETD85   ,Unknown,Unknown,LIRF,Unknown,787 9,B789,A6-BLI,1661991256.0,1662002699.0,No Weather Info,"LIRF 091120Z 17010KT 140V200 9999 SCT035 17/06 Q1023 NOSIG,LIRF,2025-04-09T11:20:00Z,41.8,12.239,17,6,170,10,,6+,30.21,,,,,,TRUE,,,,,SCT,3500,,,,,,,VFR,,,,,,,,,,,,METAR,2",4784.521023269573,21530.34460471308,68035.88895089334,0.0,21530.34460471308,68035.88895089334,21530.34460471308,68035.88895089334,,,0.0,21530.34460471308,68035.88895089334
8964fa,1662035671.0,0.0,1662057985,0.0,ETD473  ,Unknown,Unknown,OMAA,Unknown,B787-9,Unknown,A6-BLU,1662035671.0,1662057985.0,No Weather Info,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",3322.8591855304567,14952.866334887054,47251.057618243096,0.0,14952.866334887054,47251.057618243096,14952.866334887054,47251.057618243096,,,0.0,14952.866334887054,47251.057618243096
8964fa,1661991978.0,0.0,1661995607,0.0,ETD470  ,Unknown,Unknown,Unknown,Unknown,B787-9,Unknown,A6-BLU,1661991978.0,1661995607.0,No Weather Info,No Weather Info,4690.376140056994,21106.69263025647,66697.14871161045,0.0,21106.69263025647,66697.14871161045,21106.69263025647,66697.14871161045,,,0.0,21106.69263025647,66697.14871161045
8963cf,1662017437.0,0.0,1662066991,0.0,ETD19G  ,OMAA,Unknown,KIAD,Unknown,787 9,B789,A6-BLB,1662017437.0,1662066991.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","KIAD 091052Z 00000KT 10SM CLR M03/M08 A3028 RMK AO2 SLP256 T10281083,KIAD,2025-04-09T10:52:00Z,38.9348,-77.4473,-2.8,-8.3,0,0,,10+,30.28,1025.6,,,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,90",4284.031100998147,19278.13995449166,60918.92225619365,0.05,20242.04695221625,63964.868369003336,19278.13995449166,60918.92225619365,290.0,14.0,0.02,19663.702753581492,62137.300701317516
896534,1662054856.0,0.0,1662068535,0.0,ETD268  ,OMAA,Unknown,VOMM,Unknown,787-9 Dreamliner,B789,A6-BLW,1662054856.0,1662068535.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","VOMM 091100Z 10012KT 6000 FEW020 33/25 Q1006 NOSIG,VOMM,2025-04-09T11:00:00Z,12.994,80.18,33,25,100,12,,3.73,29.70,,,,,,TRUE,,,,,FEW,2000,,,,,,,MVFR,,,,,,,,,,,,METAR,7",4633.873507491815,20852.430783713167,65893.6812765336,0.05,21895.052322898828,69188.3653403603,20852.430783713167,65893.6812765336,290.0,14.0,0.02,21269.47939938743,67211.55490206428
896534,1662028445.0,1662028446.0,1662047656,1662047655.0,ETD99P  ,EDDM,EDDM,OMAA,OMAA,787-9 Dreamliner,B789,A6-BLW,1662028446.0,1662047655.0,"EDDM 091120Z AUTO 34008KT 310V020 CAVOK 10/M00 Q1022 NOSIG,EDDM,2025-04-09T11:20:00Z,48.348,11.813,10,0,340,8,,6+,30.18,,,TRUE,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,445","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",5547.602033434534,24964.209150455405,78886.90091543908,0.05,26212.419607978176,82831.24596121104,24964.209150455405,78886.90091543908,340.0,8.0,0.0,24964.209150455405,78886.90091543908
896534,1661997890.0,0.0,1662006559,0.0,ETD33V  ,Unknown,Unknown,EDDM,Unknown,787-9 Dreamliner,B789,A6-BLW,1661997890.0,1662006559.0,No Weather Info,"EDDM 091120Z AUTO 34008KT 310V020 CAVOK 10/M00 Q1022 NOSIG,EDDM,2025-04-09T11:20:00Z,48.348,11.813,10,0,340,8,,6+,30.18,,,TRUE,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,445",4139.774219127338,18628.98398607302,58867.58939599075,0.0,18628.98398607302,58867.58939599075,18628.98398607302,58867.58939599075,,,0.0,18628.98398607302,58867.58939599075
89643e,1662029478.0,0.0,1662039846,0.0,ETD599  ,LLBG,Unknown,OMAA,Unknown,A321 231SL,A321,A6-AEH,1662029478.0,1662039846.0,"LLBG 091120Z 32014KT 9999 FEW030 22/13 Q1013 NOSIG,LLBG,2025-04-09T11:20:00Z,32.011,34.887,22,13,320,14,,6+,29.91,,,,,,TRUE,,,,,FEW,3000,,,,,,,VFR,,,,,,,,,,,,METAR,35","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",6449.603992332184,29023.217965494827,91713.36877096366,0.05,30474.37886376957,96299.03720951184,29023.217965494827,91713.36877096366,320.0,14.0,0.02,29603.682324804722,93547.63614638292
89643e,1662011891.0,0.0,1662021880,0.0,ETD598  ,OMAA,Unknown,LLBG,Unknown,A321 231SL,A321,A6-AEH,1662011891.0,1662021880.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","LLBG 091120Z 32014KT 9999 FEW030 22/13 Q1013 NOSIG,LLBG,2025-04-09T11:20:00Z,32.011,34.887,22,13,320,14,,6+,29.91,,,,,,TRUE,,,,,FEW,3000,,,,,,,VFR,,,,,,,,,,,,METAR,35",2043.3648678203533,9195.141905191593,29056.64842040543,0.05,9654.89900045117,30509.480841425702,9195.14190519159,29056.64842040542,290.0,14.0,0.02,9379.04474329542,29637.78138881353
896408,1661998803.0,0.0,1662000089,0.0,ETD289  ,Unknown,Unknown,OMAA,Unknown,787 9,B789,A6-BLC,1661998803.0,1662000089.0,No Weather Info,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",2302.040860149252,10359.183870671632,32735.02103132236,0.0,10359.183870671632,32735.02103132236,10359.183870671632,32735.02103132236,,,0.0,10359.183870671632,32735.021031322358
896357,1662035031.0,1662035032.0,1662056915,1662057044.0,ETD914  ,EHAM,EHAM,OMAA,OMAA,777 FFX,B77L,A6-DDC,1662035032.0,1662057044.0,"EHAM 091125Z 03010KT 330V090 9999 FEW024 11/05 Q1028 NOSIG,EHAM,2025-04-09T11:25:00Z,52.315,4.79,11,5,30,10,,6+,30.35,,,,,,TRUE,,,,,FEW,2400,,,,,,,VFR,,,,,,,,,,,,METAR,-2","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",2111.7335511425854,9502.800980141634,30028.851097247563,0.05,9977.941029148717,31530.293652109947,9502.800980141634,30028.851097247563,30.0,10.0,0.02,9692.856999744467,30629.428119192515
896357,1662011575.0,0.0,1662023510,1662023509.0,ETD957  ,Unknown,HKJK,EHAM,EHAM,777 FFX,B77L,A6-DDC,1662011575.0,1662023509.0,No Weather Info,"EHAM 091125Z 03010KT 330V090 9999 FEW024 11/05 Q1028 NOSIG,EHAM,2025-04-09T11:25:00Z,52.315,4.79,11,5,30,10,,6+,30.35,,,,,,TRUE,,,,,FEW,2400,,,,,,,VFR,,,,,,,,,,,,METAR,-2",3041.109343686834,13684.992046590753,43244.57486722678,0.0,13684.992046590753,43244.57486722678,13684.992046590753,43244.57486722678,,,0.0,13684.992046590753,43244.57486722678
896442,1662030363.0,0.0,1662051833,1662051831.0,ETD901  ,Unknown,OMAA,EDDF,EDDF,777 FFX,B77L,A6-DDE,1662030363.0,1662051831.0,No Weather Info,"EDDF 091120Z AUTO 10005KT 050V170 CAVOK 16/00 Q1023 NOSIG,EDDF,2025-04-09T11:20:00Z,50.045,8.598,16,0,100,5,,6+,30.21,,,TRUE,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,113",5150.304540423293,23176.370431904816,73237.33056481922,0.0,23176.370431904816,73237.33056481922,23176.370431904816,73237.33056481922,,,0.0,23176.370431904816,73237.33056481922
896442,1661991197.0,0.0,1662013129,0.0,ETD948  ,Unknown,Unknown,OMAD,Unknown,777 FFX,B77L,A6-DDE,1661991197.0,1662013129.0,No Weather Info,"OMAD 091100Z 31011KT CAVOK 31/18 Q1009 NOSIG,OMAD,2025-04-09T11:00:00Z,24.428,54.458,31,18,310,11,,6+,29.79,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,9",4915.900428192632,22121.551926866843,69904.10408889923,0.0,22121.551926866843,69904.10408889923,22121.551926866843,69904.10408889923,,,0.0,22121.551926866843,69904.10408889923
89650a,1662001353.0,0.0,1662016679,0.0,ETD9932 ,Unknown,Unknown,OMAA,Unknown,Boeing 777-F,Unknown,A6-DDF,1662001353.0,1662016679.0,No Weather Info,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",3211.7704892238726,14452.967201507428,45671.37635676347,0.0,14452.967201507428,45671.37635676347,14452.967201507428,45671.37635676347,,,0.0,14452.967201507428,45671.376356763474
89653e,1662023532.0,1662023533.0,1662046169,1662046168.0,ETD81C  ,EGLL,EGLL,OMAA,OMAA,Boeing 787-10 Dreamliner,B78X,A6-BMG,1662023533.0,1662046168.0,"EGLL 091120Z AUTO 07010KT 9999 FEW028 10/03 Q1030,EGLL,2025-04-09T11:20:00Z,51.477,-0.461,10,3,70,10,,6+,30.41,,,TRUE,,,,,,,,FEW,2800,,,,,,,VFR,,,,,,,,,,,,METAR,26","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",2932.1772281311887,13194.79752659035,41695.560184025504,0.05,13854.537402919868,43780.33819322679,13194.79752659035,41695.560184025504,70.0,10.0,0.02,13458.693477122157,42529.47138770602
